Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,963.9899,240.9975,424.9787,142.3457,181.4599
3,7,3364.01,480.5729,855.9783,181.2281,229.1638
4,10,7174.091,717.4091,1285.978,207.756,262.4639
5,14,12435.07,888.2194,1713.978,218.9265,288.8422
6,17,18991.93,1117.172,2134.977,238.0437,310.7815
7,20,26993.98,1349.699,2558.978,254.6161,330.1255
8,23,33562.1,1459.222,2957.98,257.3438,346.4634
9,23,39952.2,1737.052,3358.982,274.0178,361.4627
10,25,46264.29,1850.572,3748.978,279.6591,374.9443
11,29,52597.31,1813.7,3980.973,271.2656,382.5251
12,32,62934.41,1966.7,4318.979,281.8728,393.0594
13,34,74737.57,2198.164,4670.976,295.002,403.4609
14,36,84379.66,2343.88,5033.975,298.4603,413.6534
15,36,91819.73,2550.548,5389.971,307.082,423.1837
16,37,101386.6,2740.179,5750.969,316.0203,432.4286
17,36,113956.6,3165.462,6091.971,338.7179,440.8123
18,35,124945.5,3569.873,6455.969,356.3918,449.4229
19,35,139120.6,3974.874,6860.969,372.22,458.6314
20,35,152735.6,4363.875,7249.975,385.9007,467.1404
21,33,158368.6,4799.05,9956.077,399.0044,519.3045
22,33,170182.7,5157.051,10314.08,409.8174,525.4559
23,32,173938.8,5435.586,10681.08,418.0808,531.6161
24,32,186386.7,5824.584,11070.08,428.6266,537.9933
25,31,193334.6,6236.601,11459.08,439.0724,544.2213
26,30,204987.6,6832.92,13270.08,452.5617,569.7658
27,30,217167.6,7238.92,13676.09,461.9083,575.5186
28,29,220231.8,7594.199,14062.1,469.6119,580.8811
29,28,225401.7,8050.061,14456.1,479.2415,586.257
30,28,236069.7,8431.062,14837.11,487.039,591.3646
31,27,246564.7,9132.027,19582.06,498.6746,650.0918
32,27,256932.7,9516.027,19966.07,505.9755,654.3153
33,27,267273.8,9899.027,20349.06,513.0397,658.4767
34,27,278127.8,10301.03,20751.07,520.238,662.788
35,26,289034.8,11116.72,30676.02,531.2377,755.0275
36,25,289301.8,11572.07,31086.97,538.5725,758.3848
37,25,299726.8,11989.07,31503.95,545.3848,761.7648
38,23,296766.7,12902.9,31904.88,557.6051,764.9858
39,23,306265.7,13315.9,32317.93,563.9395,768.2739
40,23,315603.8,13721.9,32723.9,570.0203,771.475
41,21,307093.7,14623.51,33134.86,581.1663,774.6879
42,21,315892.7,15042.51,33553.86,587.1008,777.9401
43,21,324943.8,15473.51,33984.85,593.0729,781.2567
44,19,310593.6,16347.03,34407.86,604.5087,784.4875
45,18,305730.7,16985.04,34838.86,612.4679,787.7499
46,18,313236.7,17402.04,35255.86,617.7736,790.8785
47,17,320229.7,18837.04,37232.14,631.5496,803.5889
48,17,327284.8,19252.05,37647.14,636.5604,806.5649
49,17,334254.7,19662.04,38057.13,641.429,809.4892
50,15,297951.7,19863.45,38454.13,643.8884,812.2906
51,15,303966.8,20264.45,38855.13,648.5298,815.1006
52,15,310041.8,20669.45,39260.14,653.1473,817.925
53,15,316086.8,21072.46,39663.2,657.6728,820.7155
54,15,322026.8,21468.45,40059.13,662.0553,823.4366
55,15,328026.8,21868.45,40459.12,666.4187,826.1645
56,15,334041.8,22269.45,40860.13,670.7323,828.8947
57,13,300088.8,23083.75,41268.12,679.2506,831.6355
58,13,305457.7,23496.75,41681.13,683.5211,834.4028
59,12,310661.6,25888.46,52453.86,701.4957,904.3812
60,11,315132.5,28648.41,52858.83,723.6518,906.6932
61,11,319620.8,29056.44,53267.07,727.4713,909.0217
62,11,324130.6,29466.41,53676.91,731.2626,911.3189
63,11,328871.5,29897.41,54107.84,735.2042,913.759
64,11,333557.5,30323.41,54533.81,739.0545,916.1658
65,11,338309.5,30755.41,54965.89,742.9131,918.5862
66,11,343017.6,31183.41,55393.98,746.6926,920.9819
67,11,347846.6,31622.41,55832.82,750.524,923.3951
68,10,304219.3,30421.93,56260.81,741.8392,925.748
69,10,308219.2,30821.92,56660.82,745.355,927.9286
70,10,312139.2,31213.92,57052.74,748.7633,930.0422
71,10,316109.1,31610.91,57449.76,752.183,932.185
72,10,320149.1,32014.91,57853.76,755.6306,934.3848
73,9,281257,31250.78,58245.75,749.5053,936.4982
74,8,260511.1,32563.88,58654.77,759.4669,938.7034
75,8,263774.9,32971.86,59062.75,762.8776,940.8824
76,8,266974.9,33371.87,59462.74,766.1835,942.9968
77,7,244874,34982,59863.68,778.1326,945.1164
78,7,247416,35345.14,59999.7,781.1215,945.8353
79,7,249953.9,35707.7,59999.7,784.1397,945.8353
80,6,226252,37708.66,59999.7,798.8199,945.8353
81,6,228312.1,38052.02,59999.7,801.5617,945.8353
82,6,230312.2,38385.37,59999.7,804.2002,945.8353
83,6,232322.4,38720.41,59999.7,806.8323,945.8353
84,6,234432.3,39072.05,59999.7,809.5728,945.8353
85,6,236567.4,39427.9,59999.7,812.3166,945.8353
86,6,238747.6,39791.27,59999.7,815.0975,945.8353
87,5,206648.2,41329.64,59999.7,824.7444,945.8353
88,5,208388.2,41677.64,59999.7,827.3532,945.8353
89,5,210128.1,42025.63,59999.7,829.9355,945.8353
90,5,211760.3,42352.06,59999.7,832.3446,945.8353
91,5,213264.3,42652.87,59999.7,834.5511,945.8353
92,5,214940.4,42988.08,59999.7,836.9857,945.8353
93,5,216696.1,43339.22,59999.7,839.5187,945.8353
94,5,218120.1,43624.03,59999.7,841.5569,945.8353
95,5,219692.1,43938.42,59999.7,843.7867,945.8353
96,5,221152.3,44230.45,59999.7,845.8453,945.8353
97,5,222808.2,44561.63,59999.7,848.1653,945.8353
98,5,224372.2,44874.44,59999.7,850.3364,945.8353
99,5,226020.1,45204.02,59999.7,852.6143,945.8353
100,5,227612.3,45522.45,59999.7,854.8029,945.8353
101,5,229228.2,45845.64,59999.7,857.007,945.8353
102,5,230968.3,46193.66,59999.7,859.3634,945.8353
103,5,232471.1,46494.22,59999.7,861.4414,945.8353
104,5,233788,46757.61,59999.7,863.3254,945.8353
105,5,235027,47005.41,59999.7,865.0859,945.8353
106,5,236209,47241.8,59999.7,866.7528,945.8353
107,5,237469,47493.8,59999.7,868.5186,945.8353
108,5,238765,47753.01,59999.7,870.3202,945.8353
109,5,240037,48007.41,59999.7,872.0748,945.8353
110,5,241321,48264.2,59999.7,873.8336,945.8353
111,5,242608,48521.61,59999.7,875.5856,945.8353
112,5,243907,48781.4,59999.7,877.3431,945.8353
113,5,245212,49042.39,59999.7,879.0926,945.8353
114,5,246541,49308.2,59999.7,880.8623,945.8353
115,5,247864.1,49572.82,59999.7,882.613,945.8353
116,5,249205,49840.99,59999.7,884.375,945.8353
117,5,250543,50108.59,59999.7,886.1219,945.8353
118,5,251880.9,50376.18,59999.7,887.8545,945.8353
119,5,253228.1,50645.61,59999.7,889.5895,945.8353
120,4,210149.8,52537.45,59999.7,901.0342,945.8353
121,4,211049.8,52762.45,59999.7,902.4586,945.8353
122,4,211944,52986,59999.7,903.8653,945.8353
123,4,212843.8,53210.95,59999.7,905.2758,945.8353
124,4,213739.8,53434.95,59999.7,906.6628,945.8353
125,4,214631.7,53657.93,59999.7,908.0426,945.8353
126,4,215515.7,53878.92,59999.7,909.3977,945.8353
127,4,216397.7,54099.42,59999.7,910.7407,945.8353
128,4,217275.8,54318.96,59999.7,912.068,945.8353
129,4,218147.8,54536.95,59999.7,913.3782,945.8353
130,4,219035.8,54758.95,59999.7,914.7121,945.8353
131,4,219933.8,54983.45,59999.7,916.0509,945.8353
132,4,220831.8,55207.95,59999.7,917.3792,945.8353
133,4,221732,55432.99,59999.7,918.7053,945.8353
134,4,222627.9,55656.97,59999.7,920.0073,945.8353
135,4,223525.8,55881.44,59999.7,921.3127,945.8353
136,4,224423.6,56105.91,59999.7,922.6041,945.8353
137,4,225311.8,56327.94,59999.7,923.8831,945.8353
138,4,226203.5,56550.88,59999.7,925.156,945.8353
139,4,227103.4,56775.86,59999.7,926.4371,945.8353
140,4,227999.6,56999.89,59999.7,927.7075,945.8353
141,4,228899.5,57224.87,59999.7,928.9711,945.8353
142,4,229807.7,57451.91,59999.7,930.2361,945.8353
143,4,230711.5,57677.88,59999.7,931.4883,945.8353
144,4,231615.4,57903.84,59999.7,932.7268,945.8353
145,4,232515.4,58128.86,59999.7,933.9637,945.8353
146,4,233417.5,58354.38,59999.7,935.2081,945.8353
147,4,234309.4,58577.36,59999.7,936.4222,945.8353
148,4,235211.3,58802.84,59999.7,937.65,945.8353
149,4,235679.5,58919.87,59999.7,938.296,945.8353
150,4,236127.6,59031.9,59999.7,938.9117,945.8353
151,4,236579.4,59144.85,59999.7,939.5304,945.8353
152,4,237029.4,59257.36,59999.7,940.137,945.8353
153,4,237480.5,59370.13,59999.7,940.7456,945.8353
154,3,177929.4,59309.81,59999.7,941.0923,945.8353
155,3,178373.5,59457.82,59999.7,941.8902,945.8353
156,3,178816.5,59605.51,59999.7,942.6863,945.8353
157,3,179239.6,59746.55,59999.7,943.4334,945.8353
158,3,179665.6,59888.54,59999.7,944.184,945.8353
159,3,179998.4,59999.47,59999.7,944.7708,945.8353
160,3,179998.4,59999.47,59999.7,944.7708,945.8353
161,3,179998.4,59999.47,59999.7,944.7708,945.8353
162,3,179998.4,59999.47,59999.7,944.7708,945.8353
163,3,179998.4,59999.47,59999.7,944.7708,945.8353
164,3,179998.4,59999.47,59999.7,944.7708,945.8353
165,3,179998.4,59999.47,59999.7,944.7708,945.8353
166,3,179998.4,59999.47,59999.7,944.7708,945.8353
167,2,119998.8,59999.4,59999.7,944.3135,945.8353
168,2,119998.8,59999.4,59999.7,944.3135,945.8353
169,2,119998.8,59999.4,59999.7,944.3135,945.8353
170,2,119998.8,59999.4,59999.7,944.3135,945.8353
171,2,119998.8,59999.4,59999.7,944.3135,945.8353
172,2,119998.8,59999.4,59999.7,944.3135,945.8353
173,2,119998.8,59999.4,59999.7,944.3135,945.8353
174,3,60288.14,20096.05,59999.09,396.782,942.7916
175,6,61865.2,10310.87,59999.09,297.8606,942.7916
176,10,64441.28,6444.128,59999.09,255.9646,942.7916
177,12,68537.32,5711.443,59999.09,273.792,942.7916
178,15,73777.27,4918.485,59999.09,277.353,942.7916
179,19,80488.3,4236.226,59999.09,274.4576,942.7916
180,19,84420.1,4443.163,59999.09,288.0759,942.7916
181,21,90841.95,4325.807,59999.09,295.1902,942.7916
182,25,99038.11,3961.524,59999.09,291.4115,942.7916
183,25,108902.1,4356.085,59999.09,320.8207,942.7916
184,23,114094.2,4960.618,59999.09,344.5523,942.7916
185,22,122736.2,5578.919,59999.09,365.9644,942.7916
186,22,131535.3,5978.875,59999.09,382.4953,942.7916
187,22,140187.3,6372.148,59999.09,397.103,942.7916
188,22,149007.2,6773.056,59999.09,410.7173,942.7916
189,22,157407.2,7154.875,59999.09,422.7265,942.7916
190,20,162864.2,8143.208,59999.09,445.4936,942.7916
191,19,165406.1,8705.586,59999.09,457.8506,942.7916
192,19,172822.1,9095.902,59999.09,467.6838,942.7916
193,19,180382.1,9493.796,59999.09,477.2261,942.7916
194,19,187744.2,9881.271,59999.09,486.1056,942.7916
195,19,195376.1,10282.95,59999.09,494.9271,942.7916
196,18,202918.1,11273.23,59999.09,512.5969,942.7916
197,18,209293.1,11627.4,59999.09,519.5906,942.7916
198,18,216382.2,12021.23,59999.09,527.1187,942.7916
199,17,223404.1,13141.42,59999.09,540.6984,942.7916
200,17,230188,13540.47,59999.09,547.8246,942.7916
201,17,236876,13933.88,59999.09,554.6417,942.7916
202,15,232681.1,15512.07,59999.09,575.8834,942.7916
203,15,238729.1,15915.27,59999.09,582.2372,942.7916
